Country,Year,Young Age Dependency Ratio,Retirement Age Dependency Ratio,SDG Region,Population,Male Population Ratio,Urban Population Ratio,Total Area (sq km),GDP_per_Capita,Life Expectancy,Infant mortality per 1000 live births,BMI,BMI Female,BMI Male
Afghanistan,2016,87.4057740333038,4.60635088670088,Central and Southern Asia,34636207,50.5853917549344,25.02,652860.0,523.053011984748,63.136,54.4866,23.4,24.1,22.6
Albania,2016,26.0774898968204,20.4754035794122,Europe and Northern America,2876101,50.1434366412675,58.421,28750.0,4124.05538986272,78.86,8.4075,26.7,26.3,27.0
Algeria,2016,45.128959468372,8.18647739154491,Northern Africa and Western Asia,40339329,50.9584926412633,71.459,2381741.0,4481.08196153066,75.732,20.7701,25.5,26.4,24.7
Angola,2016,88.3697198578276,4.92086089209333,Sub-Saharan Africa,29154746,49.3579021405297,64.149,1246700.0,1809.70937719455,61.092,61.9244,23.3,24.3,22.3
Antigua and Barbuda,2016,29.0782348913923,11.837928673679,Latin America and the Caribbean,90564,47.6745726778853,24.846,440.0,16449.0591470407,78.152,8.6458,26.7,27.7,25.7
Argentina,2016,38.27869196886,17.4756701525715,Latin America and the Caribbean,43590368,49.4863990514296,91.627,2780400.0,12790.2641396135,76.308,10.9588,27.7,27.6,27.8
Armenia,2016,28.690771150235,15.7766323457132,Northern Africa and Western Asia,2865835,45.5144137746939,63.082,29740.0,3679.95234740376,74.664,12.1974,26.3,27.0,25.6
Australia,2016,28.6483579474705,23.0163838801032,Australia and New Zealand,24190907,49.6271672393373,85.8,7741220.0,49918.7939327254,82.4487804878049,3.0552,27.1,26.7,27.6
Austria,2016,21.3995133239294,27.529654425897,Europe and Northern America,8736668,49.1326776998581,57.905,83879.0,45307.5878620429,81.6414634146342,3.1658,25.6,24.6,26.5
Azerbaijan,2016,35.2039883060269,8.04647699536416,Northern Africa and Western Asia,9757812,49.2795688318895,55.021,86600.0,3880.6852276838,72.004,21.3604,27.1,27.9,26.1
Bahamas,2016,32.2936361311884,10.3094602721867,Latin America and the Caribbean,395976,48.0433157565105,82.832,13880.0,29661.1410792573,73.537,11.9338,28.0,28.8,27.1
Bahrain,2016,26.2127357048399,3.60321284252946,Northern Africa and Western Asia,1409661,62.2153127595925,89.09,779.0,22877.9351764172,79.557,6.2864,24.8,24.8,24.8
Bangladesh,2016,45.0319589621239,7.51458518746282,Central and Southern Asia,159784568,49.7290783425343,35.083,147630.0,1659.88817301175,71.09,30.1927,21.7,22.0,21.3
Barbados,2016,27.0803392346689,19.6102275778202,Latin America and the Caribbean,278649,47.8501627495523,31.193,430.0,17398.9870769319,76.815,11.6339,27.8,29.2,26.4
Belarus,2016,24.2103308585735,22.3159481197912,Europe and Northern America,9469379,46.23074934256,77.661,207600.0,5039.77560949445,73.8268292682927,3.0608,26.6,26.6,26.4
Belgium,2016,26.2415129173204,28.445270611272,Europe and Northern America,11331422,49.2169100974866,97.919,30530.0,42012.6227191016,81.4390243902439,3.155,26.1,25.6,26.6
Belize,2016,48.2111365189729,6.75928816734312,Latin America and the Caribbean,367313,50.3107703783966,45.495,22970.0,6099.95710191497,73.399,12.4669,29.1,30.5,27.5
Benin,2016,80.0937502114521,5.73791364768134,Sub-Saharan Africa,11260085,49.9930950787672,46.229,114760.0,1049.82030361083,59.539,61.5812,23.5,24.5,22.6
Bhutan,2016,39.0688294987505,8.58266491528995,Central and Southern Asia,749761,53.1682762907113,39.428,38394.0,3097.96123360501,70.602,24.6326,23.9,24.5,23.5
Bolivia,2016,52.4627604095501,7.84532162344346,Latin America and the Caribbean,11263015,50.2859847030302,68.738,1098580.0,3013.50270721666,67.628,37.8859,26.6,27.7,25.3
Bosnia and Herzegovina,2016,21.6766752015904,22.6163873023216,Europe and Northern America,3480986,49.0110847903439,47.518,51210.0,4917.26376596306,76.808,5.6978,25.8,25.1,26.4
Botswana,2016,54.2998494183181,5.19171197337938,Sub-Saharan Africa,2352416,49.2509403098772,67.933,581730.0,6411.5518615966,65.464,34.8435,24.3,26.1,22.5
Brazil,2016,31.7118785153617,11.7055135322726,Latin America and the Caribbean,206859578,49.2094158676085,86.042,8515770.0,8680.73646873878,74.442,13.6909,26.6,26.8,26.3
Brunei,2016,33.2325563152872,6.00118971355358,Eastern and South-Eastern Asia,425994,51.8575378995948,76.99,5770.0,26762.0350436621,74.733,8.271,27.2,27.2,27.2
Bulgaria,2016,21.6745152964141,32.1012839995823,Europe and Northern America,7127822,48.4740010833601,74.329,111000.0,7570.93165511708,74.8121951219512,6.493,26.4,25.7,27.1
Burkina Faso,2016,87.3141843413433,4.96676543317759,Sub-Saharan Africa,19275498,49.7378433491057,28.134,274220.0,665.786328598963,59.326,64.0994,22.2,22.1,22.2
Burundi,2016,94.5894151765462,4.61896393180966,Sub-Saharan Africa,10903327,49.5983015092549,12.388,27830.0,242.539527292978,60.793,44.7493,21.7,21.6,21.8
Cambodia,2016,47.2329331675119,6.74238676476675,Eastern and South-Eastern Asia,15624584,49.4854583008418,22.582,181040.0,1281.10597105412,70.224,25.2263,22.2,22.3,22.1
Cameroon,2016,79.8176697111235,5.22073658015565,Sub-Saharan Africa,23711630,49.8275445424882,55.179,475440.0,1426.0654809805,60.233,58.571,24.3,25.1,23.6
Canada,2016,24.0811343073373,24.3329723551898,Europe and Northern America,36110803,49.6192729085596,81.3,9879750.0,42314.0615817218,81.9248780487805,4.535,26.9,26.6,27.3
Cape Verde,2016,43.250837098132,7.89890399019032,Sub-Saharan Africa,558394,49.7383567875013,64.784,4030.0,3312.69674458487,75.742,14.2858,24.5,25.3,23.7
Central African Republic,2016,99.2564213714747,4.56903319816115,Sub-Saharan Africa,4904177,50.0731315366472,40.618,622980.0,372.135456093031,53.46,84.7662,22.9,23.7,22.0
Chad,2016,97.4025638699599,4.08537985485773,Sub-Saharan Africa,14592585,50.1734065623054,22.677,1284000.0,691.980077427731,52.083,78.3069,21.9,21.9,21.9
Chile,2016,28.6080711450321,16.4441151881268,Latin America and the Caribbean,18083879,49.612890022102,87.422,756700.0,13788.2400083224,80.079,7.0074,28.0,28.1,27.8
China,2016,25.7704978337214,14.68739962838,Eastern and South-Eastern Asia,1387790000,51.1676901343851,56.736,9562910.0,8094.39016735149,77.218,8.0413,23.8,23.5,24.2
Colombia,2016,34.7529468975853,10.7808709846344,Latin America and the Caribbean,47625955,49.3805657020421,80.108,1141749.0,5936.26102166829,76.471,12.4214,26.2,26.6,25.8
Comoros,2016,70.0949780984405,7.36044592621481,Sub-Saharan Africa,746232,50.1183278122621,28.619,1861.0,1357.26622979616,63.237,46.2368,24.5,25.6,23.3
Congo,2016,76.0925197296195,4.62191007732276,Sub-Saharan Africa,5186824,49.9106582371023,66.001,342000.0,2107.51861826924,63.577,35.8315,23.2,24.1,22.3
Costa Rica,2016,32.276099609573,13.0563657817283,Latin America and the Caribbean,4945205,50.1352117859624,77.735,51100.0,11899.8139833748,79.459,7.5878,27.3,27.9,26.8
Cote d'Ivoire,2016,79.8339983608439,4.37608871009768,Sub-Saharan Africa,24213622,50.6206176011173,49.881,322460.0,1999.19537179625,58.06,62.9971,23.8,24.2,23.4
Croatia,2016,21.7561406966183,30.0241286453853,Europe and Northern America,4174349,48.4376564811704,56.403,88073.0,12634.3195701712,78.0219512195122,4.1049,27.4,26.8,28.0
Cuba,2016,23.8496608484606,20.8486851371405,Latin America and the Caribbean,11342012,49.8188063987236,76.93,109880.0,8055.92586780018,77.643,5.2555,25.6,26.0,25.2
Cyprus,2016,22.6810907528502,18.328085179016,Northern Africa and Western Asia,1197881,50.1045596348886,66.881,9251.0,24715.142578125,81.056,2.6904,26.8,26.0,27.5
Czechia,2016,23.3752946371733,28.120300859681,Europe and Northern America,10566332,49.1724460040288,73.57,78870.0,18575.2320271915,79.0268292682927,2.837,27.1,26.2,27.9
Democratic Republic of the Congo,2016,91.2770902200528,6.02722437350453,Sub-Saharan Africa,81430977,49.5860745966489,43.307,2344860.0,456.027950583624,59.066,60.2326,22.0,22.6,21.3
Denmark,2016,26.0940768805343,29.6532561413774,Europe and Northern America,5728010,49.6712638848319,87.642,42920.0,54663.9983719195,80.8536585365854,3.1944,25.3,24.4,26.2
Djibouti,2016,53.3911051082164,6.75591712040516,Sub-Saharan Africa,1023261,49.7265116133616,77.528,23200.0,2545.73879850905,62.191,43.6021,24.0,24.6,23.4
Dominica,2016,30.6443304279739,13.7458531660176,Latin America and the Caribbean,70075,50.2019265073136,69.88,750.0,8223.04145029796,70.128,23.6836,27.0,29.0,25.0
Dominican Republic,2016,44.1644770534916,9.57101786966762,Latin America and the Caribbean,10527592,50.3737321887094,79.436,48670.0,7191.06970308651,72.987,28.0987,26.5,27.4,25.5
East Timor,2016,68.7087355004803,9.80639123228242,Eastern and South-Eastern Asia,1224562,50.9986427800307,29.85,14870.0,1349.54677672507,67.446,46.0624,21.3,21.3,21.3
Ecuador,2016,44.1301836388899,10.6035067454862,Latin America and the Caribbean,16439585,50.014194397243,63.534,256370.0,5941.23470878371,76.763,12.2692,27.3,27.9,26.6
Egypt,2016,54.0255335290533,7.09667852982904,Northern Africa and Western Asia,99784030,50.6190519665321,42.732,1001450.0,3331.61246134688,70.844,18.3659,29.6,31.4,27.8
El Salvador,2016,42.911344972346,11.5861170268512,Latin America and the Caribbean,6250510,47.7384405432517,70.501,21040.0,3870.31298246063,72.025,12.3082,27.7,28.3,26.8
Equatorial Guinea,2016,66.6606029393508,5.28625914321991,Sub-Saharan Africa,1398927,52.7581496389733,71.138,28050.0,8035.3076664385,60.479,65.6812,24.0,25.9,22.3
Eritrea,2011,78.5856699114809,6.67549200694476,Sub-Saharan Africa,3207570,49.1914751665591,35.771,121675.619,643.790042311239,64.402,38.1197,20.6,20.8,20.3
Estonia,2016,24.9789027552179,29.670483367849,Europe and Northern America,1315790,46.8985338081321,68.563,45340.0,18295.3429322114,77.6414634146342,2.3134,26.4,25.9,26.9
Eswatini,2016,62.4126538220302,5.80511606404061,Sub-Saharan Africa,1142524,49.2872797420448,23.459,17360.0,3339.99040122187,56.659,46.9385,26.8,28.9,24.5
Ethiopia,2016,76.4217550567005,5.44733658123256,Sub-Saharan Africa,105293228,50.3057414100743,19.866,1136242.676,705.617508543589,64.392,42.0106,20.6,21.1,20.1
Fiji,2016,46.2691064941153,7.48204449950612,Oceania,918371,50.4402904708446,55.235,18270.0,5368.43350276363,67.24,18.2336,27.7,28.8,26.6
Finland,2016,25.8436017000656,32.8136859844481,Europe and Northern America,5495303,49.2590559175167,85.275,338450.0,43814.0265056965,81.4292682926829,1.8286,25.9,25.5,26.4
France,2016,28.9663283017004,31.2943680093214,Europe and Northern America,66724104,48.3655342542402,79.917,549087.0,37062.5335723829,82.5731707317073,3.6075,25.0,24.2,25.9
Gabon,2016,61.5975263941036,6.56108487866531,Sub-Saharan Africa,2086206,51.1028632838751,88.559,267670.0,6722.19822269059,65.802,34.9374,25.2,26.5,24.0
Gambia,2016,86.3807551583171,4.87311270259585,Sub-Saharan Africa,2317206,49.6591153311359,59.918,11300.0,640.676265282984,63.013,37.262,24.0,24.5,23.4
Georgia,2016,29.8765228870955,21.2568440719309,Northern Africa and Western Asia,3727505,47.1160215427288,57.837,69700.0,4143.40125686315,73.569,9.1657,27.6,27.6,27.5
Germany,2016,20.2290343147891,32.2223137582762,Europe and Northern America,82348669,49.3004268856133,77.224,357580.0,42136.1207907991,80.990243902439,3.5165,26.6,25.8,27.3
Ghana,2016,66.5136848428196,5.44135479213721,Sub-Saharan Africa,29554303,49.8726361437115,54.749,238540.0,1900.39769521465,63.89,37.9557,23.9,25.2,22.5
Greece,2016,22.474776647905,32.7498517036008,Europe and Northern America,10775971,49.0617914364828,78.387,131960.0,17923.9668134716,81.3878048780488,3.6377,27.1,26.7,27.5
Grenada,2016,35.8717359828249,13.8698886614409,Latin America and the Caribbean,119966,50.2292316156244,36.072,340.0,8849.51353500776,74.762,12.4049,27.0,28.8,25.2
Guatemala,2016,59.4654395379808,7.49111430492741,Latin America and the Caribbean,15827690,49.5321712523059,50.319,108890.0,4173.28134863663,72.355,22.3343,26.6,27.3,25.7
Guinea,2016,80.6180758236893,6.43557231495917,Sub-Saharan Africa,11930985,49.1727380430032,35.46,245860.0,720.473255172646,58.763,75.0383,22.9,23.4,22.4
Guinea-Bissau,2016,77.4898305809066,4.83441214148636,Sub-Saharan Africa,1834552,49.2320740976544,42.533,36130.0,678.680279492738,59.674,60.551,23.4,24.0,22.8
Guyana,2016,46.2033734664904,8.41268645012007,Latin America and the Caribbean,759087,49.0601209084071,26.482,214970.0,5905.38019563205,68.384,26.4184,26.4,27.7,25.1
Haiti,2016,54.5958707270572,6.72653376630299,Latin America and the Caribbean,10713849,49.6471902861427,53.396,27750.0,1313.18609457981,63.392,52.6985,25.3,24.2,26.5
Honduras,2016,53.2863271157926,5.783341869015,Latin America and the Caribbean,9460798,50.552131014741,55.813,112490.0,2295.53627000423,72.588,16.4869,26.8,27.6,25.9
Hungary,2016,21.6429161111018,27.5655693215698,Europe and Northern America,9814023,47.7046295179348,70.779,93030.0,13104.6995457458,76.0634146341464,3.9597,27.3,26.4,28.2
Iceland,2016,30.0154015203372,21.045141766041,Europe and Northern America,335439,50.4237729947121,93.735,103000.0,61987.9263620283,82.2048780487805,0.7359,26.2,25.5,27.0
India,2016,42.574193664501,8.83554041094142,Central and Southern Asia,1338636340,51.6662665081989,33.182,3287260.0,1714.27953738629,70.117,33.0146,21.8,21.9,21.7
Indonesia,2016,39.7436398626434,9.32397318032705,Eastern and South-Eastern Asia,261850182,50.3760616060981,53.989,1913580.0,3558.81885175737,69.798,21.882,23.1,23.8,22.5
Iran,2016,33.8806924843919,8.55074729536433,Central and Southern Asia,83306231,50.6572287491916,73.88,1745150.0,5497.24323254699,75.6,12.6292,26.1,27.0,25.2
Iraq,2016,70.2181265384299,5.49903625137862,Northern Africa and Western Asia,38697943,49.947843480983,70.094,435052.0,4308.84808910054,68.988,23.771,28.8,29.7,27.8
Ireland,2016,32.4082155397801,20.4601543234582,Europe and Northern America,4755335,49.490074617434,62.737,70280.0,62784.0656875694,81.6536585365854,3.0697,27.5,27.0,27.9
Israel,2016,46.5543758744486,18.2996233975395,Northern Africa and Western Asia,8546000,49.7167486884743,92.256,22070.0,37690.4739511859,82.4073170731707,2.9927,27.3,26.9,27.6
Italy,2016,21.1892979878346,34.7430139479918,Europe and Northern America,60627498,48.5481471249859,69.855,302069.0,30960.7315088902,83.2439024390244,2.8036,25.6,24.7,26.5
Jamaica,2016,32.2885969530287,9.04147277674572,Latin America and the Caribbean,2802695,49.6603804552404,55.098,10990.0,5022.70017844299,72.02,15.6674,27.8,29.6,25.8
Japan,2016,21.080990695125,46.9608333063349,Eastern and South-Eastern Asia,127076000,48.6561558642951,91.457,377970.0,39375.4731620781,83.9848780487805,1.9912,22.7,21.8,23.6
Jordan,2016,55.873069118056,5.13760545836143,Northern Africa and Western Asia,9964656,52.0424588666182,90.506,89320.0,4003.40474641177,75.215,14.5501,29.0,29.8,28.3
Kazakhstan,2016,42.1891842464796,10.948761255204,Central and Southern Asia,17794055,47.8704130800734,57.264,2724902.0,7714.84184376024,72.41,9.8666,26.4,26.4,26.3
Kenya,2016,72.9689079785444,4.54681326970571,Sub-Saharan Africa,47894670,49.6507294026663,26.105,580370.0,1562.07661862777,62.163,33.8464,23.3,24.5,22.1
Kiribati,2016,58.59282972325,5.6458653806178,Oceania,118513,48.6672348181212,52.45,810.0,1743.76286839846,66.332,46.0174,30.1,31.1,29.0
Kuwait,2016,28.4678403255865,3.37454623146576,Northern Africa and Western Asia,4048085,60.8388163786086,100.0,17820.0,27026.7729279269,79.701,7.7717,29.6,30.4,29.0
Kyrgyzstan,2016,52.0955650554505,6.16515239313529,Central and Southern Asia,6079500,49.0481945147624,35.944,199950.0,1120.66705800127,70.9512195121951,17.6894,26.6,27.2,25.9
Laos,2016,51.8242341644912,6.52942945820439,Eastern and South-Eastern Asia,6891363,50.4320117805433,33.736,236800.0,2309.04999818095,67.167,40.3944,22.9,23.1,22.7
